식품명,칼로리,탄수화물,단백질,지방,섭취량
미트볼,1362,51.11,83.71,88.80,675g
미트볼,971,1.34,92.73,63.12,514g
미트볼,1275,51.11,97.23,72.80,715g
밀감,31,5.13,2.57,0.82,136g
밀감,0,0.00,0.00,0.00,1 softgel
밀감,15,4.00,0.00,0.00,1 bottle
밀크초콜렛,150,19.00,2.00,9.00,4 blocks
밀크초콜렛,210,26.00,3.00,10.00,10 squares
밀크초콜렛,180,19.00,2.00,10.00,4 pieces
바게트빵,150,31.00,5.00,0.00,2 slices
바게트빵,N/A,N/A,N/A,N/A,N/A
바게트빵,410,85.00,13.00,2.00,1 slice
바나나,89,22.84,1.09,0.33,100g
바나나,89,22.84,1.09,0.33,100g
바나나,110,29.00,1.00,0.30,1 medium
바나나우유,160,25.00,4.00,5.00,1 carton
바나나우유,60,9.00,1.00,3.00,1 cup
바나나우유,150,25.00,7.00,2.00,1 cup
바나나칩,N/A,N/A,N/A,N/A,N/A
바나나칩,519,58.40,2.30,33.60,100g
바나나칩,N/A,N/A,N/A,N/A,N/A
바닐라아이스크림,278,32.60,4.80,14.40,100g
바닐라아이스크림,435,74.74,3.00,13.68,100g
바닐라아이스크림,384,82.28,1.05,5.44,100g
바람떡,15,2.00,0.00,0.00,1 can
바람떡,1987,288.57,50.76,75.11,660g
바람떡,1265,257.98,48.39,6.57,416g
바베큐치킨,354,5.34,53.11,11.82,223g
바베큐치킨,492,6.01,59.65,23.82,259g
바베큐치킨,190,26.00,22.00,1.00,5 oz
바질,27,4.34,2.54,0.61,100g
바질,251,60.96,14.37,3.98,100g
바질,1174,11.15,39.78,110.04,220g
밤,5,2.00,0.00,0.00,1 packet
밤,148,5.20,7.40,11.00,100g
밤,0,0.00,0.00,0.00,1 cup
밥,206,44.50,4.24,0.45,160g
밥,N/A,N/A,N/A,N/A,N/A
밥,135,27.64,2.64,1.07,100g
방울토마토,63,16.01,1.06,0.20,100g
방울토마토,63,16.01,1.06,0.20,100g
방울토마토,165,41.97,0.22,0.21,100g
배추,12,2.23,1.10,0.17,100g
배추,13,2.18,1.50,0.20,100g
배추,15,3.00,1.00,0.00,1 cup
배추김치,13,2.18,1.50,0.20,100g
배추김치,49,2.83,1.79,3.91,129g
배추김치,83,4.89,1.04,7.16,92g
백도,420,48.00,3.00,26.00,1 serving
백도,130,24.00,6.00,1.50,2 slices
백도,150,23.00,1.00,6.00,4 cookies
백향과,50,13.00,0.00,0.00,1 drink
백향과,50,13.00,0.00,0.00,1 drink
백향과,142,20.00,0.00,7.00,1 drink
버섯,22,3.28,3.09,0.34,100g
버섯,78,8.34,3.40,4.43,162g
버섯,20,3.00,3.00,0.00,5 medium
버섯장아찌,22,3.28,3.09,0.34,100g
버섯장아찌,78,8.34,3.40,4.43,162g
버섯장아찌,20,3.00,3.00,0.00,5 medium
버터,717,0.06,0.85,81.11,100g
버터,717,0.06,0.85,81.11,100g
버터,100,0.00,0.00,11.00,1 tbsp
버터쿠키,475,65.60,5.45,21.60,100g
버터쿠키,100,13.00,1.00,5.00,3 cookies
버터쿠키,160,20.00,2.00,9.00,4 cookies
번데기,1044,66.38,31.59,73.41,533g
번데기,50,0.00,7.00,2.50,1 link
번데기,N/A,N/A,N/A,N/A,N/A
베이글,257,50.50,10.02,1.62,100g
베이글,288,57.11,11.14,1.72,100g
베이글,300,62.00,11.00,1.00,1 bagel
베이글샌드위치,562,53.77,28.48,25.52,205g
베이글샌드위치,340,76.00,28.00,2.00,1 sandwich
베이글샌드위치,671,62.40,30.90,33.50,1 serving
베이컨,541,1.43,37.04,41.78,100g
베이컨,70,0.00,4.00,6.00,2 slices
베이컨,80,0.00,5.00,6.00,1 slices
베이컨구이,541,1.43,37.04,41.78,100g
베이컨구이,70,0.00,4.00,6.00,2 slices
베이컨구이,80,0.00,5.00,6.00,1 slices
베이컨피자,301,31.45,12.09,13.80,100g
베이컨피자,N/A,N/A,N/A,N/A,N/A
베이컨피자,N/A,N/A,N/A,N/A,N/A
보드카,231,0.00,0.00,0.00,100g
보드카,96,0.00,0.00,0.00,1 shot
보드카,70,0.00,0.00,0.00,1 shot
보리빵,4302,834.36,129.07,49.89,1526g
보리빵,266,50.61,7.64,3.29,100g
보리빵,70,15.00,3.00,0.50,1 slice
보쌈,130,33.00,0.00,0.00,1 bottle
보쌈,N/A,N/A,N/A,N/A,N/A
보쌈,N/A,N/A,N/A,N/A,N/A
보이차,N/A,N/A,N/A,N/A,N/A
보이차,120,6.00,14.00,5.00,1 burger
보이차,110,7.00,14.00,4.50,1 burger
복숭아,39,9.54,0.91,0.25,100g
복숭아,57,14.00,1.00,0.00,1 peach
복숭아,60,16.00,0.00,0.00,1 cup
볶은원두,718,96.73,11.19,33.76,482g
볶은원두,197,0.00,29.80,7.79,101g
볶은원두,121,13.69,1.03,7.49,184g
볶음면,261,40.25,7.26,7.85,165g
볶음면,1841,136.03,91.46,106.77,969g
볶음면,N/A,N/A,N/A,N/A,N/A
볶음밥,1719,215.44,64.45,63.73,1023g
볶음밥,1546,193.87,58.03,57.38,1023g
볶음밥,1630,226.38,45.66,59.16,1080g
볶음쌀국수,361,78.93,5.86,1.42,337g
볶음쌀국수,1719,215.44,64.45,63.73,1023g
볶음쌀국수,1242,89.35,75.12,70.29,1649g
봉골레파스타,264,38.00,2.40,12.50,100g
봉골레파스타,100,24.00,1.00,0.00,1 pouch
봉골레파스타,65,10.00,5.60,0.00,1 packet
부침개,227,28.30,6.40,9.70,100g
부침개,225,39.29,5.33,5.17,100g
부침개,224,39.18,3.56,6.03,100g
북어국,339,0.00,19.43,28.36,100g
북어국,90,0.50,18.80,0.90,100g
북어국,88,0.00,19.26,0.69,100g
붉은양배추절임,31,7.37,1.43,0.16,100g
붉은양배추절임,76,10.50,2.27,3.84,156g
붉은양배추절임,6150,1511.46,23.22,3.26,4073g
붕어빵,730,101.00,45.00,15.00,1 bowl
붕어빵,620,102.00,38.00,7.00,1 bowl
붕어빵,730,101.00,44.00,15.00,1 bowl
브라우니,1588,261.98,19.94,57.68,419g
브라우니,N/A,N/A,N/A,N/A,N/A
브라우니,405,64.95,4.57,16.84,100g
브라질너트,90,2.00,2.00,9.00,3 nuts
브라질너트,656,12.27,14.32,66.43,100g
브라질너트,N/A,N/A,N/A,N/A,N/A
브로컬리계란찜,85,4.89,8.81,3.08,101g
브로컬리계란찜,1147,195.88,25.83,28.08,782g
브로컬리계란찜,34,6.64,2.82,0.37,100g
브로콜리,34,6.64,2.82,0.37,100g
브로콜리,55,11.21,3.72,0.64,157g
브로콜리,87,11.28,3.72,4.35,162g
블랙커피,1,0.04,0.12,0.02,100g
블랙커피,1,0.04,0.12,0.02,100g
블랙커피,1,0.00,0.12,0.02,100g
블루베리,57,14.49,0.74,0.33,100g
블루베리,N/A,N/A,N/A,N/A,N/A
블루베리,N/A,N/A,N/A,N/A,N/A
비빔국수,250,45.00,7.00,5.00,1 serving
비빔국수,138,25.16,4.54,2.07,101g
비빔국수,2387,161.08,142.49,131.01,1822g
비빔냉면,110,26.00,1.00,0.50,1 serving
비빔냉면,540,80.00,9.00,20.00,1 container
비빔냉면,250,45.00,7.00,5.00,1 serving
비빔밥,N/A,N/A,N/A,N/A,N/A
비빔밥,760,78.00,37.00,33.00,1 serving
비빔밥,600,101.00,16.00,14.00,1 container
비엔나소시지,15,1.00,0.00,1.00,1 tbsp
비엔나소시지,15,1.00,0.00,1.00,1 tbsp
비엔나소시지,170,31.00,6.00,2.00,2 slices
빵,266,50.61,7.64,3.29,100g
빵,259,47.14,9.13,4.11,100g
빵,110,20.00,5.00,2.50,1 slice
뻥튀기,2569,89.35,239.84,139.38,2284g
뻥튀기,120,2.00,0.00,12.00,1 serving
뻥튀기,N/A,N/A,N/A,N/A,N/A
사과샐러드,743,46.03,6.30,63.13,420g
사과샐러드,137,31.66,1.65,1.89,236g
사과샐러드,51,11.84,0.60,0.77,90g
사과주스,47,11.68,0.06,0.11,100g
사과주스,N/A,N/A,N/A,N/A,N/A
사과주스,N/A,N/A,N/A,N/A,N/A
사과파이,265,37.10,2.40,12.50,100g
사과파이,N/A,N/A,N/A,N/A,N/A
사과파이,N/A,N/A,N/A,N/A,N/A
사이다,140,10.00,0.00,0.00,1 bottle
사이다,47,11.68,0.06,0.11,100g
사이다,200,12.00,0.00,0.00,1 can
사탕,384,95.71,0.00,0.10,100g
사탕,100,14.00,1.00,4.00,1 pack
사탕,411,76.48,2.39,10.41,100g
산딸기,52,11.94,1.20,0.65,100g
산딸기,52,11.94,1.20,0.65,100g
산딸기,52,11.94,1.20,0.65,100g
살구,48,11.12,1.40,0.39,100g
살구,90,22.00,1.00,0.00,4 pieces
살구,N/A,N/A,N/A,N/A,N/A
살사소스,27,6.26,1.54,0.16,100g
살사소스,10,2.00,0.00,0.00,2 tbsp
살사소스,N/A,N/A,N/A,N/A,N/A
삶은고구마,115,26.76,2.07,0.21,152g
삶은고구마,147,26.85,2.08,3.92,157g
삶은고구마,115,26.76,2.07,0.21,152g
삶은달걀,155,1.12,12.58,10.61,100g
삶은달걀,155,1.12,12.58,10.61,100g
삶은달걀,60,0.00,6.00,4.00,1 egg
삼겹살,518,0.00,9.34,53.01,100g
삼겹살,240,0.00,13.00,21.00,3 oz
삼겹살,350,1.00,15.00,32.00,3 oz
삼겹살구이,518,0.00,9.34,53.01,100g
삼겹살구이,273,0.00,27.57,17.18,101g
삼겹살구이,1029,2.63,213.24,11.13,944g
상추,14,2.97,0.90,0.14,100g
상추,N/A,N/A,N/A,N/A,N/A
상추,15,1.00,1.00,0.00,1 cup
상추샐러드,14,2.97,0.90,0.14,100g
상추샐러드,16,3.47,0.80,0.16,91g
상추샐러드,84,18.17,4.34,0.84,499g
새싹샐러드,29,4.69,3.59,0.48,100g
새싹샐러드,43,8.95,3.38,0.30,100g
새싹샐러드,30,5.94,3.04,0.18,100g
새우,145,1.25,27.82,2.37,101g
새우,70,0.00,14.00,1.50,5 shrimp
새우,90,0.00,22.00,0.50,8 shrimp
새우구이,145,1.25,27.82,2.37,101g
새우구이,70,0.00,14.00,1.50,5 shrimp
새우구이,90,0.00,22.00,0.50,8 shrimp
새우딤섬,145,1.25,27.82,2.37,101g
새우딤섬,70,0.00,14.00,1.50,5 shrimp
새우딤섬,90,0.00,22.00,0.50,8 shrimp
새우만두,50,1.00,3.00,1.00,1 dumpling
새우만두,918,78.32,94.63,21.63,819g
새우만두,280,22.00,10.00,17.00,9 pieces
새우매운탕,145,1.25,27.82,2.37,101g
새우매운탕,70,0.00,14.00,1.50,5 shrimp
새우매운탕,90,0.00,22.00,0.50,8 shrimp
새우볶음밥,145,1.25,27.82,2.37,101g
새우볶음밥,70,0.00,14.00,1.50,5 shrimp
새우볶음밥,90,0.00,22.00,0.50,8 shrimp
새우튀김,145,1.25,27.82,2.37,101g
새우튀김,70,0.00,14.00,1.50,5 shrimp
새우튀김,90,0.00,22.00,0.50,8 shrimp
샌드위치,241,22.84,14.17,10.60,100g
샌드위치,259,27.96,8.29,12.38,85g
샌드위치,308,26.70,28.11,8.94,145g
샐러리,14,2.97,0.69,0.17,100g
샐러리,N/A,N/A,N/A,N/A,N/A
샐러리,15,3.00,1.00,0.00,2 sticks
생강차,3,0.65,0.04,0.02,100g
생강차,70,17.00,0.00,0.00,2 tbsp
생강차,N/A,N/A,N/A,N/A,N/A
생과일주스,46,11.12,0.41,0.11,100g
생과일주스,55,13.86,0.00,0.09,100g
생과일주스,102,27.20,0.78,0.10,200g
생맥주,200,16.00,0.00,0.00,1 serving
생맥주,180,17.00,0.00,0.00,1 serving
생맥주,180,15.00,2.00,0.00,1 serving
생선구이,1029,2.63,213.24,11.13,944g
생선구이,1225,3.21,213.27,33.44,972g
생선구이,100,0.00,20.51,1.34,100g
생선찌개,688,11.39,109.11,20.97,695g
생선찌개,798,25.35,127.12,18.16,1996g
생선찌개,946,80.85,113.74,18.36,1370g
생선초밥,1225,3.21,213.27,33.44,972g
생선초밥,113,0.00,23.50,1.23,101g
생선초밥,265,8.92,22.24,15.12,133g
생선튀김,265,8.92,22.24,15.12,133g
생선튀김,2314,89.63,207.30,120.81,1086g
생선튀김,N/A,N/A,N/A,N/A,N/A
생선회,146,0.00,21.62,5.93,100g
생선회,108,0.00,23.38,0.95,100g
생선회,146,0.00,23.14,5.24,100g
생크림,N/A,N/A,N/A,N/A,N/A
생크림,239,22.65,8.51,13.94,281g
생크림,317,42.36,8.88,14.86,248g
생크림케이크,N/A,N/A,N/A,N/A,N/A
생크림케이크,239,22.65,8.51,13.94,281g
생크림케이크,317,42.36,8.88,14.86,248g
석류,68,17.17,0.95,0.30,100g
석류,N/A,N/A,N/A,N/A,N/A
석류,68,17.17,0.95,0.30,100g
설탕,387,99.98,0.00,0.00,100g
설탕,387,99.98,0.00,0.00,100g
설탕,15,4.00,0.00,0.00,1 tsp
센베이,N/A,N/A,N/A,N/A,N/A
센베이,N/A,N/A,N/A,N/A,N/A
소고기육포,70,4.00,11.00,1.50,1 oz
소고기육포,80,6.00,11.00,1.50,1 oz
소고기육포,100,10.00,11.00,2.00,1 package
소금,0,0.00,0.00,0.00,100g
소금,N/A,N/A,N/A,N/A,N/A
소금,0,0.00,0.00,0.00,1 tsp
소면,130,2.00,14.00,7.00,3 oz
소면,60,1.00,11.00,1.00,2 oz
소면,80,1.00,17.00,1.50,3 oz
소시지,304,0.00,15.09,26.53,100g
소시지,344,4.27,19.12,27.31,100g
소시지,N/A,N/A,N/A,N/A,N/A
소시지구이,304,0.00,15.09,26.53,100g
소시지구이,344,4.27,19.12,27.31,100g
소시지구이,N/A,N/A,N/A,N/A,N/A
솜사탕,322,79.00,0.80,0.30,100g
솜사탕,394,98.00,0.00,0.20,100g
솜사탕,1144,11.80,20.27,113.93,353g
쇠고기구이,254,0.00,27.52,15.14,101g
쇠고기구이,290,0.00,26.55,19.70,101g
쇠고기구이,110,8.00,13.00,3.00,1 serving
쇠고기볶음,345,7.00,26.00,24.00,1 serving
쇠고기볶음,2330,89.32,261.33,101.88,2284g
쇠고기볶음,2633,89.35,249.43,142.30,2284g
수박,30,7.55,0.61,0.15,100g
수박,N/A,N/A,N/A,N/A,N/A
수박,30,7.55,0.61,0.15,100g
수박주스,30,7.55,0.61,0.15,100g
수박주스,N/A,N/A,N/A,N/A,N/A
수박주스,100,27.00,0.00,0.00,1 cup
숙주나물,100,11.00,12.00,1.50,1pouch
숙주나물,150,20.00,1.00,7.00,1 ghost
숙주나물,351,0.00,27.00,27.00,100g
순대,348,43.09,4.77,18.03,131g
순대,180,30.17,3.57,5.46,100g
순대,190,18.00,19.00,7.00,1 bar
순대국밥,286,32.36,5.99,16.27,108g
순대국밥,274,56.89,6.16,4.01,165g
순대국밥,185,29.40,4.30,6.00,100g
순대볶음,348,43.09,4.77,18.03,131g
순대볶음,180,30.17,3.57,5.46,100g
순대볶음,190,18.00,19.00,7.00,1 bar
순두부찌개,70,2.00,8.00,3.50,3 oz
순두부찌개,70,2.00,8.00,3.50,3 oz
순두부찌개,N/A,N/A,N/A,N/A,N/A
순살찜닭,110,0.00,23.09,1.24,100g
순살찜닭,239,0.00,27.30,13.60,101g
순살찜닭,165,0.00,31.02,3.57,101g
순살치킨,197,0.00,29.80,7.79,101g
순살치킨,110,0.00,23.00,2.50,4 oz
순살치킨,247,0.00,25.06,15.49,101g
쉐이크,100,7.00,15.00,1.50,1 packet
쉐이크,135,20.13,3.19,4.90,100g
쉐이크,180,24.00,10.00,6.00,1 can
슈크림,558,45.70,7.40,38.50,100g
슈크림,410,29.86,5.68,29.99,100g
슈크림,130,13.00,16.00,2.50,1 bar
스크램블드에그,90,0.00,6.00,7.00,1 egg
스크램블드에그,90,1.00,8.00,7.00,1 serving
스크램블드에그,212,2.08,13.84,16.18,100g
스테이크,201,0.00,20.30,12.71,100g
스테이크,254,0.00,27.52,15.14,101g
스테이크,253,0.00,27.63,14.97,101g
스튜,1300,135.29,105.54,36.64,1566g
스튜,1140,132.89,104.30,21.27,1702g
스튜,1322,140.05,106.37,36.75,1612g
스트링치즈,N/A,N/A,N/A,N/A,N/A
스트링치즈,80,1.00,6.00,6.00,1 string
스트링치즈,90,1.00,7.00,6.00,1 stick
스파게티,158,30.86,5.80,0.93,101g
스파게티,158,30.86,5.80,0.93,101g
스파게티,158,30.86,5.80,0.93,101g
스파게티면,158,30.86,5.80,0.93,101g
스파게티면,313,57.29,10.55,4.27,265g
스파게티면,90,15.24,5.05,1.01,100g
스프,32,4.66,1.46,0.90,100g
스프,587,71.75,24.62,26.57,1399g
스프,2707,203.30,187.46,131.88,2880g
슬라이스치즈,50,2.00,3.00,3.50,1 slice
슬라이스치즈,70,0.00,4.00,6.00,1 slice
슬라이스치즈,403,1.28,24.90,33.14,100g
시금치,23,3.63,2.86,0.39,100g
시금치,23,3.63,2.86,0.39,100g
시금치,74,6.83,5.35,4.18,186g
시럽,259,66.79,0.00,0.04,100g
시럽,100,26.00,0.00,0.00,2 tbsp
시럽,110,27.00,0.00,0.00,2 tbsp
시루떡,392,81.10,7.10,4.30,100g
시루떡,6397,890.51,70.82,302.84,1956g
시루떡,387,81.50,8.20,2.80,100g
시리얼,110,26.00,2.00,0.00,1 cup
시리얼,376,83.02,7.24,3.38,100g
시리얼,N/A,N/A,N/A,N/A,N/A
시리얼바,100,17.00,1.00,3.50,1 bar
시리얼바,140,28.00,2.00,2.00,1 bar
시리얼바,130,25.00,1.00,3.00,1 bar
시저샐러드,1072,41.10,31.71,89.33,630g
시저샐러드,N/A,N/A,N/A,N/A,N/A
시저샐러드,250,12.00,6.00,19.00,1 serving
쌀,206,44.50,4.24,0.45,160g
쌀,N/A,N/A,N/A,N/A,N/A
쌀,135,27.64,2.64,1.07,100g
쌀과자,40,8.00,0.50,0.00,1 cake
쌀과자,50,11.00,1.00,0.00,1 cake
쌀과자,35,7.00,1.00,0.00,1 cake
쌀국수,109,24.90,0.91,0.20,100g
쌀국수,200,46.00,3.00,0.00,2 oz
쌀국수,N/A,N/A,N/A,N/A,N/A
쌀밥,206,44.50,4.24,0.45,160g
쌀밥,N/A,N/A,N/A,N/A,N/A
쌀밥,135,27.64,2.64,1.07,100g
아귀찜,2249,297.19,117.61,71.78,2225g
아귀찜,20,4.55,0.94,0.19,100g
아귀찜,210,0.63,17.78,14.56,100g
아마씨,534,28.88,18.29,42.16,100g
아마씨,70,4.00,3.00,4.50,2 tbsp
아마씨,70,4.00,3.00,6.00,2 tbsp
아몬드,578,19.74,21.26,50.64,100g
아몬드,100,4.00,4.00,9.00,1 pouch
아몬드,N/A,N/A,N/A,N/A,N/A
아보카도,N/A,N/A,N/A,N/A,N/A
아보카도,160,8.53,2.00,14.66,100g
아보카도,240,15.00,3.00,26.00,1 avocado
아보카도샐러드,445,29.17,4.49,37.19,418g
아보카도샐러드,200,11.00,3.00,17.00,1 cup
아보카도샐러드,334,34.05,7.26,22.23,643g
아스파라거스구이,20,3.00,3.00,0.00,12 spears
아스파라거스구이,45,2.00,1.00,3.50,1 serving
아스파라거스구이,72,7.48,4.33,4.10,186g
아스파라거스볶음밥,1719,215.44,64.45,63.73,1023g
아스파라거스볶음밥,1546,193.87,58.03,57.38,1023g
아스파라거스볶음밥,20,3.88,2.20,0.12,100g
아오리사과,52,13.81,0.26,0.17,100g
아오리사과,1983,364.97,22.94,52.78,1002g
아오리사과,2356,214.40,39.81,151.49,658g
아이스라떼,110,10.06,7.17,4.48,332g
아이스라떼,100,23.00,2.00,0.50,1 cup
아이스라떼,130,18.00,12.00,0.00,1 serving
아이스커피,4,0.62,0.18,0.01,164g
아이스커피,49,9.02,0.37,1.40,175g
아이스커피,120,21.00,3.00,2.50,1 cup
아이스크림,201,24.38,3.52,10.71,100g
아이스크림,201,23.60,3.50,11.00,100g
아이스크림,N/A,N/A,N/A,N/A,N/A
아이스티,3,0.95,0.03,0.00,338g
아이스티,142,36.94,0.03,0.00,374g
아이스티,N/A,N/A,N/A,N/A,N/A
아포가토,110,23.00,3.00,0.00,5 potatoes
아포가토,N/A,N/A,N/A,N/A,N/A
아포가토,80,18.00,2.00,0.00,3 potatoes
안심스테이크,190,0.00,24.00,9.00,4 oz
안심스테이크,60,0.00,14.00,0.50,2 oz
안심스테이크,253,0.00,27.63,14.97,101g
알로에주스,53,12.87,0.36,0.12,100g
알로에주스,N/A,N/A,N/A,N/A,N/A
알로에주스,110,27.00,0.00,0.00,1 cup
알타리김치,10,2.00,1.00,0.00,1 oz
알타리김치,10,1.00,1.00,0.00,2 tbsp
알타리김치,10,2.00,0.00,0.00,1 oz
애플민트,100,25.00,0.00,1.00,1 serving
애플민트,70,17.00,0.00,0.50,1 serving
애플민트,156,4.22,0.00,0.00,65g
애호박,16,3.35,1.21,0.18,100g
애호박,69,7.85,1.66,4.26,186g
애호박,45,11.69,1.00,0.10,100g
액상요구르트,775,199.98,0.00,0.00,615g
액상요구르트,11,2.10,0.00,0.00,100g
액상요구르트,48,8.22,2.44,0.10,100g
앵두,63,16.01,1.06,0.20,100g
앵두,63,16.01,1.06,0.20,100g
앵두,165,41.97,0.22,0.21,100g
야끼소바,410,69.00,11.00,10.00,1 pack
야끼소바,275,53.00,10.00,2.50,1 cup
야끼소바,500,72.00,10.00,19.00,1 container
야채볶음,N/A,N/A,N/A,N/A,N/A
야채볶음,64,13.46,3.33,0.52,100g
야채볶음,20,4.55,0.94,0.19,100g
양꼬치,294,0.00,24.52,20.94,101g
양꼬치,134,0.00,20.29,5.25,100g
양꼬치,267,0.00,24.03,18.23,100g
양념치킨,15,3.00,0.00,0.00,2 tsp
양념치킨,N/A,N/A,N/A,N/A,N/A
양념치킨,N/A,N/A,N/A,N/A,N/A
양배추,24,5.58,1.44,0.12,100g
양배추,65,6.79,1.54,4.34,156g
양배추,65,6.79,1.54,4.34,156g
양배추샐러드,N/A,N/A,N/A,N/A,N/A
양배추샐러드,83,4.89,1.04,7.16,92g
양배추샐러드,24,5.58,1.44,0.12,100g
양배추쌈,24,5.58,1.44,0.12,100g
양배추쌈,65,6.79,1.54,4.34,156g
양배추쌈,65,6.79,1.54,4.34,156g
양배추절임,24,5.58,1.44,0.12,100g
양배추절임,65,6.79,1.54,4.34,156g
양배추절임,65,6.79,1.54,4.34,156g
양상추샐러드,14,2.97,0.90,0.14,100g
양상추샐러드,16,3.47,0.80,0.16,91g
양상추샐러드,84,18.17,4.34,0.84,499g
양주,103,11.00,0.00,0.00,1 oz
양주,70,10.00,0.00,0.00,1 serving
양주,91,8.10,0.00,0.00,1 serving
양파,42,10.11,0.92,0.08,100g
양파,32,7.55,0.80,0.08,100g
양파,N/A,N/A,N/A,N/A,N/A
양파샐러드,50,11.00,1.00,0.00,1 serving
양파샐러드,40,5.00,1.00,2.00,1 serving
양파샐러드,35,5.00,1.00,1.00,1 tbsp
양파튀김,42,10.11,0.92,0.08,100g
양파튀김,32,7.55,0.80,0.08,100g
양파튀김,N/A,N/A,N/A,N/A,N/A
어묵국,1805,111.19,122.60,94.22,898g
어묵국,169,18.25,19.49,0.99,148g
어묵국,100,11.00,4.00,4.00,1 cake
어묵탕,1805,111.19,122.60,94.22,898g
어묵탕,169,18.25,19.49,0.99,148g
어묵탕,100,11.00,4.00,4.00,1 cake
어육소시지,140,10.00,7.00,8.00,1 piece
어육소시지,310,2.14,13.26,27.15,100g
어육소시지,344,4.27,19.12,27.31,100g
에그타르트,1854,183.39,31.33,111.06,495g
에그타르트,210,17.00,2.00,15.00,1 serving
에그타르트,150,22.00,2.00,6.00,1 tart
연근,74,17.23,2.60,0.10,100g
연근,50,15.00,2.00,0.00,1 cup
연근,150,19.00,1.00,7.00,15 pieces
연어구이,139,0.00,23.45,4.30,100g
연어구이,1445,4.14,202.52,63.87,845g
연어구이,330,0.00,37.00,20.00,1 serving
연어롤,190,33.00,6.00,4.00,6 pieces
연어롤,250,37.00,14.00,5.00,1 serving
연어롤,120,16.00,7.00,2.50,6 pieces
연어샐러드,1809,28.66,122.07,131.63,928g
연어샐러드,350,27.00,33.00,13.00,1 salad
연어샐러드,N/A,N/A,N/A,N/A,N/A
연어초밥,146,0.00,21.62,5.93,100g
연어초밥,139,0.00,23.45,4.30,100g
연어초밥,1445,4.14,202.52,63.87,845g
연어회,146,0.00,21.62,5.93,100g
연어회,139,0.00,23.45,4.30,100g
연어회,1445,4.14,202.52,63.87,845g
오디,5,0.00,0.00,0.00,1 can
오디,25,0.00,0.00,2.50,5 olives
오디,440,3.00,24.00,37.00,1 patty
오렌지,47,11.75,0.94,0.12,100g
오렌지,49,12.54,0.91,0.15,100g
오렌지,47,11.75,0.94,0.12,100g
오렌지주스,45,10.40,0.70,0.20,100g
오렌지주스,N/A,N/A,N/A,N/A,N/A
오렌지주스,N/A,N/A,N/A,N/A,N/A
오리구이,132,0.00,18.28,5.95,100g
오리구이,337,0.00,18.99,28.35,100g
오리구이,337,0.00,18.99,28.35,100g
오리로스구이,239,0.00,27.30,13.60,101g
오리로스구이,1029,2.63,213.24,11.13,944g
오리로스구이,312,29.95,9.85,16.96,89g
오므라이스,130,19.00,1.00,5.00,3 cookies
오므라이스,170,21.00,1.00,9.00,5 cookies
오므라이스,150,18.00,1.00,7.00,3 cookies
오믈렛,115,2.58,7.85,7.97,89g
오믈렛,153,0.69,10.62,12.02,100g
오믈렛,200,2.58,13.94,14.62,101g
오미자,170,26.00,2.00,9.00,1 bottle
오븐구이치킨몸통,301,0.00,25.95,20.98,101g
오븐구이치킨몸통,239,0.00,27.30,13.60,101g
오븐구이치킨몸통,239,0.00,27.30,13.60,101g
오이,15,3.63,0.65,0.11,100g
오이,12,2.16,0.59,0.16,100g
오이,12,2.16,0.59,0.16,100g
오이김치,N/A,N/A,N/A,N/A,N/A
오이김치,164,36.34,2.49,0.40,498g
오이김치,12,2.16,0.59,0.16,100g
오이샐러드,164,36.34,2.49,0.40,498g
오이샐러드,75,3.80,1.61,6.22,148g
오이샐러드,655,36.89,2.83,55.00,556g
오이피클,15,3.63,0.65,0.11,100g
오이피클,12,2.16,0.59,0.16,100g
오이피클,12,2.16,0.59,0.16,100g
오징어,1336,106.07,162.05,23.21,1071g
오징어,240,24.00,11.00,11.00,12 pieces
오징어,92,3.08,15.58,1.38,101g
오징어튀김,106,3.56,18.01,1.59,101g
오징어튀김,92,3.08,15.58,1.38,100g
